,actor_id,time_zone
749,32321,-8
750,32344,-2
751,32407,5
752,32483,4
753,32514,0
754,32717,0
755,32885,3
756,32920,-8
757,32968,-5
758,33089,-5
759,33163,-1
760,33302,6
761,33324,-8
762,33377,-3
763,33430,-8
764,33538,-4
765,33569,-8
766,33620,-2
767,33654,4
768,33697,4
769,33762,5
770,33770,-8
771,33829,0
772,33993,-2
773,34061,-2
774,34129,5
775,34132,-8
776,34146,0
777,34150,-3
778,34174,6
779,34277,-8
780,34295,4
781,34538,-5
782,34539,7
783,34664,5
784,34673,-8
785,34680,6
786,34695,-8
787,34725,-8
788,34726,2
789,34893,6
790,34967,-2
791,35046,-5
792,35047,-8
793,35067,3
794,35127,4
795,35128,-8
796,35156,0
797,35293,3
798,35296,6
799,35559,1
800,35755,4
801,35768,-8
802,35882,-8
803,35996,3
804,36073,3
805,36107,-8
806,36158,-8
807,36162,-2
808,36186,5
809,36209,-3
810,36227,4
811,36278,-8
812,36426,-4
813,36432,2
814,36445,-3
815,36491,-8
816,36517,-8
817,36560,7
818,36793,-8
819,36822,6
820,36863,3
821,37000,1
822,37163,-2
823,37304,5
824,37345,-8
825,37363,-4
826,37418,-4
827,37492,-1
828,37586,-8
829,37602,-3
830,37623,-8
831,37886,-4
832,37966,4
833,38054,-5
834,38065,6
835,38109,4
836,38218,-2
837,38268,-2
838,38294,-1
839,38454,-8
840,38532,-4
841,38546,6
842,38700,-4
843,38760,2
844,38784,3
845,38863,-1
846,38956,6
847,38969,4
848,39191,-8
849,39340,4
850,39342,-8
851,39355,3
852,39462,-8
853,39516,-6
854,39553,1
855,39613,-8
856,39655,-5
857,39698,-8
858,39703,-8
859,39854,-8
860,39889,-8
861,39937,-8
862,39946,7
863,39992,-8
864,40265,4
865,40415,6
866,40426,3
867,40496,-2
868,40592,6
869,40774,-2
870,40786,-1
871,40799,4
872,40815,-2
873,40820,-8
874,40890,-8
875,41094,-8
876,41100,5
877,41152,-8
878,41181,7
879,41239,-4
880,41240,-5
881,41495,-8
882,41547,-2
883,41563,-3
884,41567,-8
885,41628,-4
886,41734,1
887,41759,6
888,41767,-8
889,41798,-3
890,41809,-8
891,41815,5
892,41870,-4
893,41911,-6
894,41929,-2
895,41963,-1
896,42037,3
897,42057,-3
898,42080,-2
899,42082,-8
900,42124,-3
901,42190,-8
902,42201,-2
903,42211,-8
904,42327,-7
905,42339,3
906,42484,-3
907,42573,-2
908,42626,-8
909,42634,-8
910,42668,-4
911,42716,-8
912,42839,-1
913,42865,2
914,42868,-2
915,42941,4
916,42977,-2
917,43028,-8
918,43051,7
919,43125,-3
920,43198,2
921,43213,-1
922,43217,2
923,43234,-8
924,43280,4
925,43312,2
926,43347,-5
927,43356,-8
928,43373,-4
929,43429,6
930,43474,-7
931,43508,-8
932,43523,2
933,43621,-5
934,43662,9
935,43726,-3
936,43804,-3
937,43821,3
938,43848,-4
939,43875,6
940,43930,-8
941,43951,-8
942,44065,1
943,44069,-8
944,44085,7
945,44090,-4
946,44136,-2
947,44148,-8
948,44164,-1
949,44231,-8
950,44319,-5
951,44390,3
952,44410,3
953,44649,-3
954,44681,2
955,44725,-8
956,44739,3
957,44849,-5
958,44879,-8
959,44946,-2
960,44975,4
961,45068,3
962,45071,-8
963,45284,-8
964,45363,4
965,45380,2
966,45416,7
967,45447,3
968,45460,1
969,45469,-8
970,45484,6
971,45537,-8
972,45554,-4
973,45670,2
974,45729,-8
975,45806,-8
976,45821,-5
977,45845,7
978,45921,-2
979,45925,-8
980,45967,-5
981,46019,-2
982,46083,-2
983,46134,-8
984,46186,-8
985,46198,-3
986,46207,-8
987,46209,-8
988,46231,0
989,46275,5
990,46296,5
991,46655,2
992,46711,4
993,46740,6
994,46779,-6
995,46866,6
996,46896,-3
997,46943,4
998,46959,5
999,47108,-8
1000,47137,6
1001,47216,4
1002,47219,-1
1003,47294,-4
1004,47313,-7
1005,47353,-3
1006,47391,-8
1007,47395,-8
1008,47497,1
1009,47524,-4
1010,47554,5
1011,47647,-4
1012,47762,-8
1013,47771,-1
1014,47792,-8
1015,47802,-3
1016,47818,2
1017,47844,-8
1018,47848,4
1019,47889,6
1020,47985,-8
1021,47992,6
1022,48069,-1
1023,48100,6
1024,48161,3
1025,48200,-8
1026,48216,-4
1027,48364,5
1028,48398,5
1029,48424,0
1030,48578,-4
1031,48666,-8
1032,48740,-8
1033,48745,-3
1034,48793,-4
1035,48827,4
1036,48833,-7
1037,48871,-3
1038,48894,6
1039,48918,2
1040,48936,-5
1041,48997,7
1042,49000,1
1043,49014,3
1044,49032,-1
1045,49038,-8
1046,49092,1
1047,49093,2
1048,49258,5
1049,49281,-8
1050,49336,1
1051,49379,3
1052,49398,-4
1053,49415,-7
1054,49545,6
1055,49557,-4
1056,49612,-2
1057,49649,4
1058,49683,5
1059,49745,-1
1060,49749,-8
1061,49752,-3
1062,49783,5
1063,49834,3
1064,49875,2
1065,49927,-2
1066,50002,-8
1067,50003,5
1068,50029,-8
1069,50109,0
1070,50187,-4
1071,50245,4
1072,50259,-2
1073,50284,6
1074,50378,2
1075,50398,-2
1076,50456,4
1077,50459,-1
1078,50527,-8
1079,50537,-8
1080,50564,-1
1081,50636,-8
1082,50663,-4
1083,50729,5
1084,50741,-8
1085,50745,4
1086,50754,-8
1087,50777,-3
1088,50812,1
1089,50838,-8
1090,50872,-2
1091,50891,-8
1092,51016,3
1093,51020,5
1094,51061,-8
1095,51083,-2
1096,51087,-8
1097,51104,-4
1098,51115,-3
1099,51133,-3
1100,51138,7
1101,51171,-3
1102,51265,2
1103,51479,4
1104,51541,-4
1105,51573,-5
1106,51633,6
1107,51661,5
1108,51669,-5
1109,51689,-1
1110,51892,-1
1111,51899,-4
1112,51920,1
1113,51931,-8
1114,51940,-5
1115,52097,0
1116,52113,-3
1117,52117,2
1118,52120,3
1119,52152,7
1120,52195,-4
1121,52200,1
1122,52201,-6
1123,52205,-8
1124,52289,-8
1125,52302,-8
1126,52411,-8
1127,52435,-5
1128,52452,-8
1129,52489,-8
1130,52586,-2
1131,52594,-8
1132,52642,2
1133,52649,5
1134,52664,-8
1135,52673,-4
1136,52799,-3
1137,52813,-3
1138,52833,-3
1139,52851,-8
1140,52852,4
1141,52939,-8
1142,53023,4
1143,53059,-4
1144,53064,4
1145,53164,-8
1146,53172,-1
1147,53281,-2
1148,53387,-8
1149,53465,4
1150,53468,-8
1151,53531,6
1152,53559,3
1153,53657,-3
1154,53705,-8
1155,53797,-5
1156,53798,5
1157,53900,-8
1158,53929,-8
1159,53972,-8
1160,54035,-8
1161,54119,-8
1162,54129,-8
1163,54133,-8
1164,54208,-8
1165,54219,-6
1166,54385,4
1167,54414,4
1168,54418,5
1169,54427,-5
1170,54458,-8
1171,54473,-8
1172,54520,2
1173,54666,-8
1174,54677,-8
1175,54771,-8
1176,54773,6
1177,54884,5
1178,54900,-7
1179,55057,2
1180,55065,6
1181,55078,-3
1182,55154,-6
1183,55211,-4
1184,55238,0
1185,55281,0
1186,55319,4
1187,55348,-2
1188,55434,5
1189,55449,0
1190,55506,-4
1191,55603,5
1192,55639,1
1193,55682,-4
1194,55829,-8
1195,55833,-4
1196,55871,2
1197,55986,-8
1198,56010,-8
1199,56100,-8
1200,56189,-8
1201,56195,-4
1202,56250,1
1203,56520,4
1204,56591,-8
1205,56631,-8
1206,56682,0
1207,56696,-4
1208,56747,-8
1209,56763,-8
1210,56778,-4
1211,56779,-4
1212,56827,-6
1213,56868,-2
1214,56996,-8
1215,57114,-8
1216,57206,-3
1217,57224,-4
1218,57275,-8
1219,57396,-4
1220,57403,-8
1221,57469,2
1222,57538,-8
1223,57567,8
1224,57655,-1
1225,57791,-4
1226,57853,-1
1227,57881,2
1228,57929,-3
1229,57973,-8
1230,58008,-8
1231,58055,-1
1232,58266,1
1233,58298,-8
1234,58306,7
1235,58342,2
1236,58405,-1
1237,58601,-2
1238,58614,-4
1239,58669,-3
1240,58744,3
1241,58824,-6
1242,58855,-1
1243,58894,-6
1244,59071,-8
1245,59090,-8
1246,59118,2
1247,59130,-2
1248,59132,-1
1249,59292,-8
1250,59499,-4
1251,59507,2
1252,59514,-8
1253,59531,6
1254,59547,-3
1255,59577,-8
1256,59598,3
1257,59632,-8
1258,59671,-8
1259,59683,4
1260,59734,1
1261,59744,5
1262,59748,4
1263,59893,3
1264,59895,11
1265,59928,3
1266,59968,-8
1267,60163,-2
1268,60195,-8
1269,60294,5
1270,60306,3
1271,60446,0
1272,60503,-4
1273,60622,5
1274,60640,-2
1275,60661,5
1276,60666,-8
1277,60754,-8
1278,60773,-5
1279,60868,-5
1280,60961,3
1281,61034,-8
1282,61099,-2
1283,61129,0
1284,61148,-8
1285,61190,1
1286,61285,-1
1287,61346,2
1288,61601,1
1289,61764,2
1290,61869,-8
1291,61977,4
1292,62033,-4
1293,62242,-8
1294,62276,-8
1295,62313,-2
1296,62316,-4
1297,62333,-7
1298,62445,-2
1299,62450,-2
1300,62500,-8
1301,62516,3
1302,62736,4
1303,62857,-8
1304,62866,-8
1305,62894,5
1306,62937,-6
1307,62991,2
1308,63014,-8
1309,63129,8
1310,63145,-2
1311,63286,-8
1312,63311,-8
1313,63430,-8
1314,63434,-8
1315,63500,-8
1316,63502,4
1317,63545,5
1318,63622,-8
1319,63648,-8
1320,63682,-8
1321,63777,3
1322,63922,3
1323,63959,-8
1324,64103,-1
1325,64129,-8
1326,64215,-8
1327,64258,-8
1328,64276,-8
1329,64280,-8
1330,64329,-2
1331,64334,-8
1332,64669,-8
